               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.038363,            0.010252,                   0,             0.85832,             0.86549,              0.8696,             0.42083,            0.039475,           0.0068806,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.037687,            0.010866,                   0,             0.89338,             0.79806,              0.8686,             0.42426,             0.03927,           0.0069716,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.037251,            0.011047,                   0,             0.84428,             0.82313,             0.84011,             0.41502,            0.039534,           0.0070113,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.03736,            0.010463,                   0,             0.87986,             0.81633,             0.86217,             0.43055,            0.038945,            0.007033,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.037427,            0.010439,                   0,             0.86121,             0.84422,             0.88256,             0.43696,            0.038819,            0.006915,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.037285,            0.010495,                   0,             0.87766,             0.86395,             0.87857,             0.43339,            0.038579,           0.0069319,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.037244,            0.010408,                   0,             0.86842,             0.88435,             0.87627,             0.43033,            0.038659,           0.0068384,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.035826,            0.010187,                   0,             0.86377,             0.84354,             0.87955,             0.43168,            0.038964,           0.0068537,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.037394,            0.010131,                   0,             0.83603,             0.88435,             0.87079,             0.43147,            0.039256,           0.0067343,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.036379,            0.010366,                   0,             0.86622,             0.88097,              0.8713,             0.41885,            0.039282,           0.0069792,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.036434,              0.0103,                   0,             0.87198,             0.83403,             0.87221,             0.44075,            0.039272,           0.0068004,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.036423,            0.010277,                   0,             0.89557,             0.81677,             0.88162,             0.44683,            0.038624,           0.0068266,                   0,            0.000496,            0.000496,            0.000496
                  98,             0.03677,            0.010064,                   0,             0.87542,             0.86046,             0.88006,              0.4445,             0.03812,           0.0067863,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.036414,            0.010326,                   0,             0.86314,             0.85807,             0.86866,             0.43546,            0.038231,           0.0068159,                   0,            0.000298,            0.000298,            0.000298
